Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-22,13.275,8.763,7.100,10.747,12.400,13.300,14.100,7.800,8.900,9.300,10.308,10.758,11.200,4.200,7.100,11.800,7.394,100.000,74.510,15.686,0.000,8.747,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-22T19:53:09+00:00
2026-07-23,15.484,7.663,0.000,11.315,14.200,15.700,16.600,6.400,7.800,8.900,10.612,11.379,11.979,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,9.315,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-22T19:53:09+00:00
2026-07-24,16.802,10.245,1.500,12.833,15.000,17.100,18.200,9.100,10.300,11.400,12.162,12.737,13.667,0.000,1.500,5.100,2.206,62.745,13.725,0.000,0.000,10.833,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-22T19:53:09+00:00
2026-07-25,17.069,8.184,0.000,11.968,14.900,17.400,18.700,6.300,8.400,9.300,10.508,12.167,13.112,0.000,0.000,0.800,0.212,3.922,0.000,0.000,0.000,9.968,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-22T19:53:09+00:00
2026-07-26,19.580,9.351,0.000,13.739,18.500,19.700,20.500,8.100,9.400,10.500,12.679,13.713,14.733,0.000,0.000,0.100,0.047,1.961,0.000,0.000,0.000,11.739,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-22T19:53:09+00:00
2026-07-27,21.818,12.282,0.000,16.235,19.900,22.000,23.100,10.500,12.400,13.500,15.404,16.429,17.075,0.000,0.000,1.600,0.388,15.686,0.000,0.000,0.000,14.235,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-22T19:53:09+00:00
2026-07-28,18.557,11.384,1.200,14.858,15.800,19.000,20.800,8.800,11.200,13.500,11.850,14.971,16.663,0.000,1.200,10.300,3.994,54.902,21.569,13.725,0.000,12.858,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-22T19:53:09+00:00
