Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-27,21.496,13.102,0.000,16.231,20.700,21.500,22.400,12.500,13.000,13.700,15.725,16.242,16.692,0.000,0.000,0.300,0.047,0.000,0.000,0.000,0.000,14.231,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-27T13:26:37+00:00
2026-07-28,19.575,11.482,0.200,14.717,18.300,19.700,20.900,10.900,11.500,12.200,13.908,14.758,15.371,0.000,0.200,3.300,0.978,19.608,3.922,1.961,0.000,12.717,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-27T13:26:37+00:00
2026-07-29,16.727,9.133,0.900,12.317,15.800,16.900,17.500,8.600,9.100,9.900,11.650,12.308,13.088,0.000,0.900,7.100,2.680,47.059,17.647,3.922,1.961,10.317,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-27T13:26:37+00:00
2026-07-30,17.151,7.551,0.000,11.769,16.100,17.100,18.000,6.800,7.400,8.400,10.867,11.596,12.929,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,9.769,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-27T13:26:37+00:00
2026-07-31,19.024,11.753,18.600,15.133,16.300,19.400,21.700,9.400,11.600,14.500,12.733,15.200,17.592,2.700,18.600,38.800,20.008,96.078,82.353,70.588,23.529,13.133,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-27T13:26:37+00:00
2026-08-01,19.378,10.822,0.600,15.153,18.200,19.600,20.600,9.700,10.800,12.400,13.771,15.346,16.325,0.000,0.600,5.600,1.969,43.137,11.765,3.922,0.000,13.153,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-27T13:26:37+00:00
2026-08-02,18.382,9.524,1.200,13.278,16.000,18.500,20.600,7.800,9.400,11.300,11.888,13.317,14.804,0.000,1.200,6.600,2.820,56.863,17.647,7.843,0.000,11.278,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-27T13:26:37+00:00
