Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-17,17.190,8.471,2.200,13.965,16.100,17.200,18.200,7.700,8.400,9.200,13.517,13.996,14.471,0.800,2.200,8.400,3.461,80.392,19.608,7.843,0.000,11.965,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-17T19:38:59+00:00
2026-07-18,12.676,5.839,1.200,8.519,10.900,12.800,14.100,5.100,5.900,6.600,7.958,8.496,9.146,0.000,1.200,3.000,1.510,54.902,3.922,0.000,0.000,6.519,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-17T19:38:59+00:00
2026-07-19,12.294,4.114,0.000,7.335,10.300,12.300,13.900,3.400,4.200,4.900,6.654,7.267,8.092,0.000,0.000,0.300,0.225,7.843,0.000,0.000,0.000,5.335,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-17T19:38:59+00:00
2026-07-20,9.763,4.143,0.600,6.607,7.900,9.900,11.200,2.300,4.200,6.000,5.742,6.600,7.425,0.000,0.600,7.900,3.169,49.020,19.608,9.804,1.961,4.607,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-17T19:38:59+00:00
2026-07-21,10.612,3.092,0.000,6.328,9.000,10.600,12.900,1.400,3.000,4.700,5.163,6.221,7.725,0.000,0.000,1.000,0.600,13.725,1.961,1.961,0.000,4.328,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-17T19:38:59+00:00
2026-07-22,11.198,3.716,0.300,6.915,8.600,11.000,13.900,1.500,4.100,5.900,4.688,6.975,9.021,0.000,0.300,2.700,0.833,23.529,3.922,0.000,0.000,4.915,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-17T19:38:59+00:00
2026-07-23,13.627,5.022,0.000,8.604,11.400,13.600,15.800,3.100,5.100,7.100,7.346,8.537,10.129,0.000,0.000,2.900,0.949,23.529,5.882,1.961,0.000,6.604,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-17T19:38:59+00:00
