Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-20,13.227,7.961,0.600,10.609,12.300,13.100,14.500,6.700,8.000,9.100,10.179,10.592,11.046,0.000,0.600,1.800,0.810,31.373,0.000,0.000,0.000,8.609,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-20T03:06:39+00:00
2026-07-21,13.651,9.827,0.300,11.382,12.200,13.500,15.400,8.600,10.100,10.500,10.758,11.383,12.221,0.000,0.300,2.000,0.759,29.412,0.000,0.000,0.000,9.382,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-20T03:06:39+00:00
2026-07-22,13.696,7.720,1.400,10.327,12.100,13.700,15.500,6.300,7.600,9.500,8.912,10.492,11.608,0.000,1.400,6.600,2.763,58.824,17.647,5.882,0.000,8.327,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-20T03:06:39+00:00
2026-07-23,14.665,6.092,0.000,9.979,12.600,14.800,16.000,4.800,6.100,7.300,8.804,9.983,11.175,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,7.979,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-20T03:06:39+00:00
2026-07-24,15.488,8.704,0.900,11.420,12.000,15.800,18.000,7.300,8.800,10.000,10.112,11.725,12.667,0.300,0.900,3.600,1.524,49.020,3.922,0.000,0.000,9.420,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-20T03:06:39+00:00
2026-07-25,16.984,7.233,0.000,11.271,15.200,17.100,18.600,5.600,7.500,8.600,9.804,11.433,12.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.271,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-20T03:06:39+00:00
2026-07-26,18.955,9.159,0.000,13.363,17.000,19.400,20.800,7.000,9.100,11.500,11.242,13.658,15.767,0.000,0.000,0.600,0.588,5.882,3.922,1.961,0.000,11.363,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-33.750,-59.750,35.000,2026-07-20T03:06:39+00:00
