Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-13,11.794,2.349,0.000,6.818,11.200,11.900,12.300,1.900,2.300,2.800,6.479,6.821,7.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.818,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-13T12:44:22+00:00
2026-07-14,13.427,7.027,0.000,9.360,12.600,13.500,14.100,6.400,7.000,7.600,8.912,9.296,9.867,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.360,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-13T12:44:22+00:00
2026-07-15,15.751,7.202,0.000,10.859,14.200,15.700,17.100,6.400,7.100,8.300,10.179,10.850,11.475,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,8.859,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-13T12:44:22+00:00
2026-07-16,18.035,9.080,0.000,12.930,16.800,18.200,19.200,7.400,9.000,10.700,11.987,12.896,13.996,0.000,0.000,0.500,0.120,1.961,0.000,0.000,0.000,10.930,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-13T12:44:22+00:00
2026-07-17,16.831,10.516,1.500,13.290,13.300,17.100,19.500,8.500,10.800,12.100,11.342,13.612,14.942,0.300,1.500,12.600,4.355,64.706,27.451,13.725,0.000,11.290,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-13T12:44:22+00:00
2026-07-18,12.784,7.157,0.800,9.912,10.400,12.400,16.000,5.400,7.300,8.700,8.325,9.746,11.671,0.000,0.800,5.000,1.943,47.059,11.765,3.922,0.000,7.912,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-13T12:44:22+00:00
2026-07-19,11.622,5.202,0.600,8.031,8.500,11.400,15.100,3.000,5.200,7.600,6.175,7.888,10.258,0.000,0.600,5.000,1.706,43.137,11.765,1.961,0.000,6.031,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-38.500,-60.250,116.000,2026-07-13T12:44:22+00:00
